Category,Name,Description,Latitude,Longitude
Bancos,Banco BPI | Constituição,,41.1620185,-8.6046232
Bancos,novobanco Porto São João,,41.1834732,-8.6000013
Bancos,novobanco Júlio Dinis,,41.1561535,-8.6281589
Bancos,BBVA,,41.1589522,-8.6287168
Bancos,novobanco São João de Brito,,41.167376,-8.6497763
Bancos,BBVA,,41.1579677,-8.6797375
Bancos,Banco Best - Porto Foz Office,,41.1552407,-8.6801048
Bancos,ABANCA,,41.1630222,-8.6614103
Bancos,BPI - Avenida da Boavista,,41.1589246,-8.6367077
Bancos,novobanco D Manuel II,,41.1473178,-8.6212857
Bancos,novobanco Boavista,,41.1590843,-8.6351513
Bancos,novobanco Carvalhido,,41.1675758,-8.6229147
Bancos,novobanco Campo 24 de Agosto,,41.1483049,-8.5989024
Bancos,Banco Santander Totta,,41.1456139,-8.6110634
Bancos,"Balcão Santander Damião de Góis, Porto",,41.1618191,-8.6131083
Bancos,BPI,,41.1725563,-8.6552239
Bancos,Caixa Geral Depósitos (Aliados),,41.1478905,-8.6095157
Bancos,Caixa Geral de Depósitos,,41.157292,-8.6280607
Bancos,Caixa Geral de Depósitos,,41.1632153,-8.6621566
Bancos,Caixa Geral de Depósitos,,41.1582598,-8.6825903
Bancos,Caixa Geral de Depósitos,,41.1533471,-8.6104467
Bancos,Caixa Geral de Depósitos,,41.1479955,-8.6161209
Bancos,Caixa Geral de Depósitos,,41.1465453,-8.5958388
Bancos,Caixa Geral de depositos,,41.1545878,-8.5952492
Bancos,CGD - Caixa Geral de Depósitos,,41.1617158,-8.612343
Bancos,Caixa Geral de Depósitos,,41.16079,-8.5778422
Bancos,Caixa Geral De Depósitos,,41.1801174,-8.583552
Bancos,CGD,,41.1640601,-8.5990563
Bancos,Caixa Geral de Depósitos,,41.1605601,-8.6441676
Bancos,Caixa Geral de Depósitos,,41.1658599,-8.6248137
Bancos,novobanco Campo Alegre,,41.1546336,-8.6478323
Bancos,novobanco Foz,,41.1527557,-8.6764973
Bancos,novobanco Porto-Aliados,,41.1500022,-8.6101631
Bancos,ABANCA,,41.1612085,-8.6580486
Bancos,ABANCA,,41.165512,-8.6439
Bancos,ABANCA,,41.1626214,-8.5932682
Bancos,ABANCA,,41.1482707,-8.668899
Bancos,Millennium bcp,,41.1584801,-8.6313512
